"taxparcelnumber","location_value"
"320151211","Low"
"320151213","Low"
"320152004","Other"
"320152005","Low"
"320152011","Low"
"320152013","Low"
"320152015","Low"
"320152020","Low"
"320152021","Low"
"320152028","Low"
"320152033","Low"
"320152047","High"
"320152054","Low"
"320152062","Other"
"320152067","Low"
"320152083","Low"
"320152086","Low"
"320153049","High"
"320153054","Low"
"320153062","Low"
"320153071","Other"
"320153112","Low"
"320153126","Low"
"320153127","Low"
"320153142","Low"
"320153144","Low"
"320153176","High"
"320153181","Low"
"320153183","Other"
"320154042","Low"
"320154051","Low"
"320154062","Low"
"320155001","Low"
"320155003","Other"
"320155016","Low"
"320155019","Low"
"320155029","Low"
"320155031","Low"
"320155039","Low"
"320156001","Low"
"320156002","High"
"320156005","Low"
"320156006","Other"
"320157002","High"
"320157009","Low"
"320157015","Low"
"320157018","Low"
"320157021","Low"
"320157024","Low"
"320157033","Low"
"320158004","Low"
"320181056","Other"
"320183000","Low"
"320192006","Other"
"320192016","Low"
"320192019","Other"
"320194002","Other"
"320198001","Other"
"320198002","Other"
"320203000","Other"
"320203005","Low"
"320203031","Low"
"320203036","Low"
"320203039","Low"
"320203041","Low"
"320203057","Low"
"320203062","High"
"320203064","Low"
"320203070","Low"
"320203093","Low"
"320203113","Low"
"320203170","Other"
"320203180","Low"
"320204010","Low"
"320204014","Other"
"320204028","Low"
"320204029","Low"
"320204032","High"
"320204051","Low"
"320204062","Low"
"320204065","Low"
"320204081","Low"
"320204089","Low"
"320204090","Low"
"320204091","High"
"320204092","Low"
"320204095","Other"
"320204097","Low"
"320204128","Low"
"320204131","Low"
"320204139","Low"
"320204143","Low"
"320204149","Low"
"320204157","Low"
"320207001","Low"
"320207002","Low"
"320207003","Low"
"320207013","Low"
"320207015","Low"
"320207018","Low"
"320207021","Low"
"320207023","Low"
"320207025","Low"
"320207033","Other"
"320207034","Low"
"320207036","Low"
"320208001","Low"
"320208003","Low"
"320211023","Low"
"320211027","Low"
"320211031","Low"
"320211035","Low"
"320211058","Low"
"320211067","Other"
"320211074","Low"
"320211075","Low"
"320211076","Low"
"320211110","Low"
"320211112","Low"
"320211120","Low"
"320211133","Other"
"320211134","Low"
"320211150","Low"
"320211162","Low"
"320212028","Low"
"320212030","Other"
"320212039","Low"
"320212042","Low"
"320212044","Low"
"320212052","Other"
"320212057","Low"
"320212059","Low"
"320212073","Low"
"320212078","Low"
"320213001","Low"
"320213004","Low"
"320213005","Low"
"320213007","Low"
"320213011","Low"
"320213020","Low"
"320213022","Low"
"320213030","Low"
"320213032","Low"
"320213033","Low"
"320213035","Low"
"320213043","Low"
"320213052","Low"
"320213069","High"
"320213070","Low"
"320213081","Low"
"320213088","Low"
"320213091","Low"
"320213093","Low"
"320213094","Low"
"320213095","Low"
"320213101","Low"
"320213104","Low"
"320213111","Low"
"7515000053","High"
"7515000100","High"
"7515000117","High"
"7515000119","High"
"7515000123","High"
"7515000124","High"
"7515000126","High"
"7515000149","High"
"7515000181","High"
"7515000182","High"
"7515000186","High"
"7515000187","High"
"7515000192","High"
"7515000195","High"
"7515000199","High"
"7515000206","High"
"7515000209","High"
"7515000218","High"
"7515000219","High"
"7515000220","High"
"7515000240","High"
"7515000250","High"
"7515000260","High"
"7515000300","High"
"7515000320","High"
"7515000360","High"
"7515000365","High"
"7515000371","High"
"7515000392","High"
"7515000401","High"
"7515000431","High"
"7515200027","High"
"7515200031","High"
"7515200040","High"
"7515200100","Low"
"7515200110","High"
"7515200160","High"
"7515200170","High"
"7515200172","High"
"7515200223","High"
"7515200286","High"
"7515200380","High"
"7515200400","High"
"7515200447","High"
"7515200448","High"
"7515200510","High"
"7515200540","High"
"7515200583","High"
"7515200631","High"
"7515200660","High"
"7515200680","High"
"7515200702","High"
"7515200718","High"
"7515200720","High"
"7515200721","High"
"7523000189","High"
"7523000570","Other"
"7523000630","Other"
"7525000030","Other"
"7525000090","Other"
"7525000180","Other"
"7530000030","High"
"7530000070","High"
"7540000030","Low"
"7540000080","Low"
"7540000120","Low"
"7542000030","Low"
"7542000330","Low"
"7545500070","Low"
"7545500080","Low"
"7545500100","Low"
"7545500130","Low"
"7550000020","High"
"7553100010","Other"
"7553100030","Other"
"7553100040","Other"
"7553100060","Other"
"7553100160","Low"
"7553100170","Other"
"7553100220","Other"
"7553100230","Other"
"7553100270","Other"
"7553100290","Other"
"7553100320","Other"
"7553100540","Other"
"7553100550","Other"
"7553500060","High"
"7553500070","High"
"7553500080","High"
"7553500100","High"
"7553500110","High"
"7553500180","High"
"7553500190","High"
"7553500200","High"
"7555000100","Low"
"7555000180","Other"
"7555000202","Low"
"7560010350","Other"
"7560012312","Other"
"7565000111","Other"
"7565000125","Other"
"7565000132","Other"
"7565000200","Other"
"7565000253","Other"
"7565000370","Other"
"7565000411","Other"
"7565000413","Other"
"7565000443","Other"
"7565500010","High"
"7565900010","Other"
"7565900060","Other"
"7565900120","Other"
"7565900170","Other"
"7565900270","Other"
"7565900360","Other"
"7565900440","Other"
"7565900460","Other"
"7565900470","Other"
"7565900490","Other"
